symbol, n_gaps, training_time, test_loss, test_acc, test_auc, test_f1, r2
ES,34,3.0084478855133057,0.7373217344284058,0.4285714626312256,0.4166666567325592,0.0,-0.10984252703430242
ESS,52,3.945114850997925,0.7370223999023438,0.4545454680919647,0.1666666567325592,0.6249999403953552,-0.09509054799061079
ETN,79,7.102483034133911,0.7035399675369263,0.5,0.453125,0.0,-0.02052892247413851
ETR,35,2.8394408226013184,0.7632010579109192,0.2857142984867096,0.3999999761581421,0.4444444477558136,-0.3953607221830555
ETSY,245,7.987457990646362,0.6814451217651367,0.6326530575752258,0.3109319508075714,0.0,-0.05053696495061266
EVRG,26,3.379112958908081,0.6544450521469116,0.6666666865348816,0.0,0.7999999523162842,-0.038244061703876175
EW,79,6.094228982925415,0.64421546459198,0.6875,0.3999999761581421,0.8148147463798523,-0.05071062528253689
EXC,49,3.179054021835327,0.6386741995811462,0.699999988079071,0.6190476417541504,0.0,-0.06184661487121956
EXPD,56,3.9046027660369873,0.7917000651359558,0.3333333432674408,0.671875,0.4999999701976776,-0.34270662038228417
EXPE,115,5.9742138385772705,0.7087206840515137,0.43478262424468994,0.4653846025466919,0.0,-0.04887136234614253
EXR,49,3.1782593727111816,0.693942666053772,0.5,0.5799999833106995,0.615384578704834,-0.0015902440636015314
F,84,4.1645848751068115,0.7060431241989136,0.47058823704719543,0.8611111044883728,0.6399999260902405,-0.029300209118723775
FANG,251,10.74721384048462,0.6957079172134399,0.4117647111415863,0.44905954599380493,0.3205127716064453,-0.024422941261987186
FAST,77,5.946167707443237,0.6935703754425049,0.5625,0.2698412537574768,0.7199999690055847,-0.016296591737182897
FB,99,5.525065898895264,0.704084038734436,0.5,0.5799999833106995,0.6666666269302368,-0.021638222369001925
FBHS,89,4.802879095077515,0.7823934555053711,0.5,0.6975308656692505,0.6666666269302368,-0.16343532636599423
FCX,238,10.599861860275269,0.7016587257385254,0.4583333432674408,0.5384615659713745,0.0,-0.024086971458099127
FDX,85,5.15389609336853,0.692184567451477,0.5882353186607361,0.30000001192092896,0.0,-0.028285724024089243
