symbol, n_gaps, test_loss, test_acc, test_auc, test_f1, r2
DHR,48,0.587399423122406,0.6666666865348816,0.7241071462631226,0.6215053796768188,0.15004706229324893
GS,71,0.5056160092353821,0.7605633735656738,0.8728070259094238,0.75520920753479,0.33422338831404685
PENN,262,0.5291376113891602,0.732824444770813,0.8098152875900269,0.6413077116012573,0.2854006399206678
MA,61,0.5055187940597534,0.7377049326896667,0.8502252101898193,0.7366071343421936,0.301866257613963
MMM,41,0.6760122776031494,0.585365891456604,0.591911792755127,0.40666663646698,-0.0009614306623664248
FDX,85,0.5651215314865112,0.7176470756530762,0.7765282392501831,0.665571928024292,0.20185046329487488
PFE,33,0.5591449737548828,0.6363636255264282,0.780075192451477,0.29999998211860657,0.2256978502093423
MSCI,86,0.48574158549308777,0.7441860437393188,0.8733766674995422,0.7202684283256531,0.375621850918163
UHS,83,0.5167155861854553,0.7228915691375732,0.8157727122306824,0.7699145078659058,0.24175535872188703
EFX,61,0.5518484115600586,0.7377049326896667,0.8226190209388733,0.7783783674240112,0.18269762392632694
EXPE,115,0.5230691432952881,0.7478261590003967,0.8205205798149109,0.7517942190170288,0.298222350639197
AMCR,43,0.3942917585372925,0.8139534592628479,0.9293478727340698,0.774509847164154,0.5131074924389509
FTNT,119,0.4625198543071747,0.7899159789085388,0.8778344988822937,0.7903563380241394,0.4037546300214516
SYF,142,0.4790009558200836,0.7887324094772339,0.8659987449645996,0.759578287601471,0.3730728188249516
AJG,40,0.45971041917800903,0.7750000357627869,0.8631713390350342,0.817460298538208,0.40043711264241144
NXPI,142,0.4828962981700897,0.7957746386528015,0.8811517953872681,0.8240911364555359,0.3529594389627222
SHW,60,0.45930585265159607,0.8000000715255737,0.8619271516799927,0.8329669833183289,0.36743995650200434
ULTA,101,0.5198833346366882,0.7326732277870178,0.8416996598243713,0.6756628751754761,0.29056656300866457
ATVI,98,0.5397933721542358,0.6938775181770325,0.803983211517334,0.7748442888259888,0.2613268883550153
SNPS,78,0.423846036195755,0.8717948794364929,0.9069766998291016,0.8613240122795105,0.4553728679576595
NOC,48,0.36722609400749207,0.875,0.9510489702224731,0.8392857313156128,0.5572807056961058
LEN,129,0.4841742515563965,0.751937985420227,0.8458936810493469,0.5708717703819275,0.351724804157596
VTR,88,0.506389319896698,0.75,0.8365186452865601,0.7286943793296814,0.3212150376354477
CME,49,0.5628257393836975,0.6938775181770325,0.7803030014038086,0.7246376276016235,0.21798345368601046
LNT,37,0.4334720969200134,0.7837837934494019,0.8883928060531616,0.6710525751113892,0.4369104410992951
PBCT,107,0.46679145097732544,0.7663550972938538,0.8617171049118042,0.7699642777442932,0.3777623466615526
WY,113,0.43249282240867615,0.8318583965301514,0.8963648080825806,0.8195345997810364,0.453097801940312
AFL,59,0.5392680168151855,0.6610169410705566,0.7832080125808716,0.7213622331619263,0.1868777474031772
DRI,95,0.49127495288848877,0.7789474129676819,0.8490910530090332,0.7051804065704346,0.34923317366708584
FISV,63,0.5526638031005859,0.7301587462425232,0.8070707321166992,0.6770832538604736,0.25936776648597837
CNP,66,0.4810766577720642,0.7878788113594055,0.849074125289917,0.5234958529472351,0.3682205893775998
AES,145,0.4388545751571655,0.8068965673446655,0.8772443532943726,0.766805112361908,0.4194445654647643
